Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
front:intro	g1ir				0	# Introduction to Habakkuk\n\n## Part 1: General Introduction\n\n### Outline of Habakkuk\n\n1. Superscription\n2. Habakkuk’s first complaint: Why does Yahweh tolerate injustice in Judah?\n3. Yahweh’s first reply: He is raising up the Chaldeans as his instrument of judgment\n4. Habakkuk’s second complaint: Why does Yahweh use a nation more wicked than Judah?\n5. Habakkuk waits for Yahweh’s answer\n6. Yahweh’s second reply: The vision is certain; the righteous shall live by faith\n7. Five woe oracles against the oppressor\n    - Woe to the one who increases what is not his\n    - Woe to the one who gains evil gain for his house\n    - Woe to the one who builds a city with bloodshed\n    - Woe to the one who makes his neighbor drink\n    - Woe to the one who says to wood, “Awake!”\n8. Habakkuk’s prayer-psalm: a theophany and confession of trust\n    - Superscription\n    - Petition for Yahweh to act again\n    - Theophany: Yahweh appears as a divine warrior\n    - Habakkuk’s response: from trembling to trust\n    - Liturgical colophon\n\n### What is the book of Habakkuk about?\n\nUnlike most prophetic books, Habakkuk is not primarily a message from God to the people. Instead, it is a dialogue between the prophet and Yahweh. Habakkuk complains that Yahweh is allowing injustice and violence to go unchecked in Judah, and Yahweh responds that he is raising up the Chaldeans (the Babylonians) to punish Judah. This answer disturbs Habakkuk even more, and he asks why Yahweh would use a nation more wicked than Judah to carry out judgment. Yahweh’s second reply assures the prophet that the oppressor will also be judged in due time and that the righteous will live by faithfulness. The book concludes with a powerful prayer-psalm in which Habakkuk recounts Yahweh’s mighty acts in the past and resolves to trust him even when all visible sources of provision fail.\n\nThe book moves from protest to praise, from questioning God’s justice to affirming trust in God’s character. This makes it a distinctive resource for communities that are experiencing suffering and questioning why God permits injustice.\n\n### Who wrote the book of Habakkuk?\n\nThe book identifies Habakkuk as a prophet, but it tells us nothing else about his background. The liturgical notations in chapter 3, including the superscription “on shigyonoth” and the colophon “to the chief musician, on my stringed instruments,” suggest that Habakkuk may have been associated with the temple worship in Jerusalem. Most scholars date the book to the late seventh century B.C., shortly before the Babylonian invasion of Judah (605–586 B.C.), since Habakkuk speaks of the Chaldean rise as something Yahweh is about to do.\n\n### How should the title of this book be translated?\n\nTranslators may use the traditional title “The Book of Habakkuk” or simply “Habakkuk.” They may also use a title such as “The Prophecy of Habakkuk” or “The Prophecies of Habakkuk.”\n\n## Part 2: Important Religious and Cultural Concepts\n\n### The “burden” or oracle\n\nThe book opens with the Hebrew word translated “burden,” which also means a prophetic oracle or message. This term is used in several prophetic books to introduce a weighty message from Yahweh. Translators may need to use a word such as “message” or “prophecy” rather than a word for a physical load, unless their language has a similar dual meaning.\n\n### The righteous shall live by faith\n\nIn [2:4](../02/04.md), Yahweh contrasts the proud person, whose soul is not upright, with the righteous person, who shall live by his faithfulness. The Hebrew word can mean both “faithfulness” (loyal trust in Yahweh) and “faith” (belief in Yahweh’s promises). This verse is quoted three times in the New Testament ([Romans 1:17](../../rom/01/17.md); [Galatians 3:11](../../gal/03/11.md); [Hebrews 10:38](../../heb/10/38.md)) and became central to the Protestant Reformation. Translators should be aware that their rendering of this verse will be compared with the New Testament quotations.\n\n### Theodicy: questioning God’s justice\n\nHabakkuk is one of the few biblical books that directly questions why Yahweh permits evil. The prophet does not doubt Yahweh’s existence or power; he struggles to reconcile Yahweh’s holiness with the presence of injustice. This theme connects Habakkuk with the book of Job and certain psalms of lament. In some cultures, it may be unusual for a person to question God openly. Translators should be aware that the text presents this questioning as an act of faith rather than rebellion.\n\n### The Chaldeans\n\nThe Chaldeans were the people group that established the Neo-Babylonian Empire, which conquered Judah and destroyed the temple in Jerusalem in 586 B.C. Yahweh describes them as “bitter and hasty” and characterizes their military power with vivid comparisons to leopards, wolves, and eagles. Translators may wish to include a footnote explaining that “Chaldeans” refers to the Babylonians.\n\n### Theophany\n\nChapter 3 describes Yahweh appearing as a divine warrior who shakes the earth, splits rivers, and commands the heavens. This kind of description, in which God appears with cosmic power, is called a theophany. It draws on the tradition of Yahweh’s mighty acts at the exodus and the conquest of the promised land. Translators should present these descriptions as poetic imagery of God’s power rather than as literal descriptions of a past or future event.\n\n## Part 3: Important Translation Issues\n\n### Dialogue structure\n\nThe book alternates between the prophet’s words and Yahweh’s words, but it does not always mark the transitions with explicit speaker labels. In chapter 1, the shifts occur at verses 2, 5, and 12. In chapter 2, Habakkuk speaks in verse 1, and Yahweh speaks from verse 2 onward. Translators may wish to use section headings, paragraph breaks, or other formatting to help readers follow the dialogue. Notes in the individual chapters will identify the speaker at each transition.\n\n### Hebrew poetry: parallelism\n\nThe book of Habakkuk is written almost entirely in poetry. Hebrew poetry was based on repetition of meaning rather than on repetition of sound. A speaker would typically say one phrase and then say another phrase that meant a similar thing, an opposite thing, or something supplementary. This second phrase would advance the meaning of the first phrase in some way. In many cases it would be good to show this to readers by including all the phrases in the translation rather than combining them. However, if the repetition might be confusing, translators could connect the phrases with a word that shows how the second phrase advances the meaning of the first one. Notes throughout the book will model ways of doing this in various cases.\n\n### Woe oracles\n\nChapter 2 contains five pronouncements that begin with the word “Woe” (verses 6, 9, 12, 15, 19). This word communicates a warning about coming disaster for the person described. If the word “woe” does not communicate this meaning in a target language, translators could use an equivalent expression such as “How terrible it will be for” or “Disaster will come upon.”\n\n### Difficult Hebrew in 1:9 and 3:9\n\nSome verses in Habakkuk contain Hebrew words and phrases whose meaning is debated among scholars. In [1:9](../01/09.md), the phrase about the direction of the Chaldeans’ faces is uncertain, and in [3:9](../03/09.md), the line about oaths and staffs is one of the most difficult lines in the Hebrew Bible. The ULT provides a literal rendering in these cases, and the UST offers a meaning-based interpretation. Notes at these places will alert translators to the difficulty and suggest possible readings.\n\n### Selah\n\nThe word “Selah” appears three times in chapter 3 (verses 3, 9, 13). This term is found almost exclusively in the Psalms and in Habakkuk 3. Its exact meaning is uncertain, but it likely indicates a musical or liturgical pause. Translators may choose to keep the word “Selah” as a loanword or to translate it with a term meaning “pause” or “musical interlude.”\n\n### Figurative language for military power\n\nThroughout the book, both Yahweh and Habakkuk use vivid figurative language to describe the Chaldean military: horses swifter than leopards, fiercer than evening wolves, horsemen that fly like eagles; a fisherman catching people with hooks, nets, and dragnets; and a person making his neighbor drink to expose his nakedness. Translators should preserve these figures of speech where possible and provide alternate translations in cases where the images would not be understood in the target culture. Notes will address each of these images individually.
1:intro	ehfp				0	# Habakkuk 1 Chapter Introduction\n\n## Structure and Formatting\n\nThis chapter is a prophetic lament dialogue: the prophet complains about injustice, Yahweh announces the Chaldean invasion, then the prophet protests again. See: [[rc://*/tw/dict/bible/kt/lament]]\n\n## Religious and Cultural Concepts in This Chapter\n\n### The Oracle (Burden)\n\nThe Hebrew word for “burden” also means a prophetic oracle. Translators may need to use “message” or “oracle” rather than implying a physical load.\n\n### Justice\n\nHabakkuk protests that justice has collapsed in Judah, then questions why Yahweh uses an even more wicked nation to punish them.
1:1	v3nb		rc://*/ta/man/translate/writing-background	הַ⁠מַּשָׂא֙ אֲשֶׁ֣ר חָזָ֔ה חֲבַקּ֖וּק הַ⁠נָּבִֽיא	1	Here the author is providing background information to help readers understand what happens next in the story. In your translation, introduce this information in a way that would be natural in your own language and culture.
1:1	n4v3		rc://*/ta/man/translate/figs-metonymy	הַ⁠מַּשָׂא֙	1	Here, **oracle** represents a prophetic message. If it would be helpful in your language, you could use an equivalent expression or plain language. Alternate translation: [The prophetic message that Habakkuk the prophet received]
1:2	ygpi		rc://*/ta/man/translate/figs-rquestion	עַד־אָ֧נָה יְהוָ֛ה שִׁוַּ֖עְתִּי וְ⁠לֹ֣א תִשְׁמָ֑ע	1	Habakkuk is using the question form to express his frustration and lament to Yahweh. If a speaker of your language would not use the question form for that purpose, you could translate this as a statement or as an exclamation. Alternate translation: [Yahweh, I have cried aloud for so long, but you will not listen!]
1:2	pq9r		rc://*/ta/man/translate/figs-abstractnouns	חָמָ֖ס	1	If your language does not use an abstract noun for the idea of **Violence**, you could express the same idea in another way. Alternate translation: [People are acting violently]
1:3	xusy		rc://*/ta/man/translate/figs-rquestion	לָ֣⁠מָּה תַרְאֵ֤⁠נִי אָ֨וֶן֙ וְ⁠עָמָ֣ל תַּבִּ֔יט	1	Habakkuk is using the question form to express his protest against what Yahweh is allowing to happen. If a speaker of your language would not use the question form for that purpose, you could translate this as a statement or as an exclamation. Alternate translation: [You make me see iniquity and you behold trouble!]
1:3	ixtg		rc://*/ta/man/translate/figs-abstractnouns	אָ֨וֶן֙	1	If your language does not use an abstract noun for the idea of **iniquity**, you could express the same idea in another way. Alternate translation: [people doing wrong]
1:3	hkpq		rc://*/ta/man/translate/figs-doublet	וְ⁠שֹׁ֥ד וְ⁠חָמָ֖ס	1	The terms **destruction** and **violence** mean similar things. Habakkuk is using the two terms together for emphasis. If it would be clearer for your readers, you could express the emphasis with a single phrase. Alternate translation: [And brutal devastation is]
1:3	dlhb		rc://*/ta/man/translate/figs-abstractnouns	וְ⁠שֹׁ֥ד וְ⁠חָמָ֖ס & וַ⁠יְהִ֧י רִ֦יב	1	If your language does not use abstract nouns for the ideas of **destruction**, **violence**, or **strife**, you could express the same ideas in another way. Alternate translation: [And people ruining things and people acting violently are … and there are people quarreling]
