Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
front:intro	zxy7				0	# Introduction to Lamentations\n\n## Part 1: General Introduction\n\n### Outline of Lamentations\n\n1. First poem: Lament over the desolation of Jerusalem (1:1–22)\n2. Second poem: Yahweh has punished Zion (2:1–22)\n3. Third poem: Suffering and hope in Yahweh’s faithfulness (3:1–66)\n4. Fourth poem: The destruction of Jerusalem’s people and leaders (4:1–22)\n5. Fifth poem: A communal prayer for restoration (5:1–22)\n\n### What is the book of Lamentations about?\n\nThe Babylonians destroyed Jerusalem in 586 B.C., burned the temple, and took most of the people into exile. Lamentations is a collection of five poems responding to this catastrophe. The poems express deep grief over the loss of the city and its people, confess that the destruction came as divine judgment for sin, and close with a prayer for Yahweh to restore his people. Central to the book is the declaration in chapter 3 that Yahweh’s covenant faithfulness never ends.\n\n### Who wrote the book of Lamentations?\n\nThe book does not name its author. The traditional view, held by Jewish and early Christian interpreters, is that the prophet Jeremiah wrote it. The writer appears to have been an eyewitness to the fall of Jerusalem, and the tone of mourning resembles portions of the book of Jeremiah. However, the book itself does not make this claim. Translators may follow the traditional attribution or leave the authorship unspecified.\n\n### How should the title of this book be translated?\n\nThis book is traditionally called “Lamentations.” Translators may use a descriptive title such as “Poems of Grief” or “Songs of Mourning.” If translators follow the tradition that Jeremiah wrote it, a title like “The Laments of Jeremiah” is also possible.\n\n## Part 2: Important Religious and Cultural Concepts\n\n### Did God abandon his people?\n\nThe poems often describe Yahweh as having rejected or abandoned Jerusalem. This is part of the honest expression of suffering under divine judgment, not a final theological conclusion. The author also affirms that Yahweh’s covenant faithfulness never ends and is renewed each morning ([3:22–23](../03/22.md)). Unlike the gods of other ancient Near Eastern nations, who were thought to abandon their cities because they were too weak to protect them, Yahweh abandoned Jerusalem because his people sinned against him.\n\n### What is a lament?\n\nA lament is a poem or song of grief and mourning. In the ancient Near East, people composed laments after the destruction of cities. The five poems in Lamentations are in this tradition, but they address Yahweh directly, confess sin, and express hope for restoration. Some scholars think the slow heavy rhythm of the Hebrew verse in this book reflects the weight of mourning.\n\n## Part 3: Important Translation Issues\n\n### The acrostic structure\n\nFour of the five poems in Lamentations use an acrostic pattern based on the Hebrew alphabet of 22 letters. In chapters 1, 2, and 4 each verse begins with a successive letter of the Hebrew alphabet. In chapter 3, groups of three consecutive verses share each letter, creating 66 verses in total. Chapter 5 has 22 verses matching the alphabet count but does not follow alphabetic order. This structure cannot be reproduced in most languages. Translators do not need to create an equivalent; a brief explanatory note may help readers appreciate the literary craftsmanship of the original.\n\n### The personification of Jerusalem as a woman\n\nThroughout Lamentations, the city of Jerusalem is addressed and described as a woman — a widow, a grieving mother, a disgraced princess. Neighboring nations are addressed the same way (for example, “the daughter of Edom” in [4:21](../04/21.md)). This literary technique helps readers feel the personal anguish of destruction. Translators should use feminine pronouns consistently when the text addresses the city in this way.\n\n### “let” and “may”\n\nThe ULT uses the English helping verbs “let” and “may” to show that a speaker is expressing a desire that something happen or that someone do something. It uses the verb “let” for more assertive expressions, and it uses the verb “may” for more deferential expressions. For example, when Jeremiah says in 3:28, “Let him sit alone and be silent,” he means “I want him to sit alone and be silent.” Languages that do not have a volitional form might say “He ought to sit alone and be silent,” or they might use an imperative, “Sit alone and be silent!” Translate this volitional form in the most natural way in your language to indicate that the speaker is expressing what he wants someone to do or what he wishes someone would do.
1:intro	nvgs				0	# Lamentations 1 Chapter Introduction\n\n## Structure and Formatting\n\nThis chapter is a lament over the destruction of Jerusalem and the exile of Judah’s people to Babylon. The narrator and personified Jerusalem alternate as speakers, mourning her desolation.\n\n## Religious and Cultural Concepts in This Chapter\n\n### Jerusalem personified as a woman\n\nThroughout this chapter, Jerusalem is addressed as a woman — a widow, a princess, a grieving mother. Translators should use feminine pronouns consistently for the city.\n\n## Translation Issues in This Chapter\n\n### Acrostic structure\n\nEach of the 22 verses begins with a successive letter of the Hebrew alphabet. Most languages cannot reproduce this pattern; a brief footnote may inform readers of this literary feature.
1:1	x1q9		rc://*/ta/man/translate/figs-personification	אֵיכָ֣ה ׀ יָשְׁבָ֣ה בָדָ֗ד הָ⁠עִיר֙ רַבָּ֣תִי עָ֔ם	1	The author is speaking of the city of Jerusalem as if it were a woman who could **sit alone** in mourning. If it would be helpful in your language, you could state the meaning plainly. See the Introduction to Lamentations for further discussion of the term and how to translate it here and throughout this book. Alternate translation: [How the city that was great with people is now deserted]
1:1	rsz0		rc://*/ta/man/translate/figs-simile	הָיְתָ֖ה כְּ⁠אַלְמָנָ֑ה רַּבָּ֣תִי בַ⁠גּוֹיִ֗ם	1	The point of this comparison is that just as **a widow** is alone, unprotected, and grieving, so is Jerusalem now without allies or support. If it would be helpful in your language, you could make this point explicitly. Alternate translation: [She has become alone and unprotected, though she was once great among the nations]
1:1	ifom		rc://*/ta/man/translate/figs-metaphor	שָׂרָ֨תִי֙ בַּ⁠מְּדִינ֔וֹת הָיְתָ֖ה לָ⁠מַֽס	1	Here the author is speaking as if Jerusalem were a **princess** who has been reduced to slavery. Your language may have a comparable expression that you can use in your translation, or you could state the meaning plainly. Alternate translation: [The city that once ruled over the provinces now serves them]
1:2	wgce		rc://*/ta/man/translate/figs-personification	בָּכ֨וֹ תִבְכֶּ֜ה בַּ⁠לַּ֗יְלָה וְ⁠דִמְעָתָ⁠הּ֙ עַ֣ל לֶֽחֱיָ֔⁠הּ	1	The author is speaking of the city of Jerusalem as if it were a woman who **weeps** and has **tears on her cheeks**. See the note on verse one. If it would be helpful in your language, you could state the meaning plainly. Alternate translation: [The people of Jerusalem weep bitterly in the night, and their tears are on their cheeks]
1:2	r4ss		rc://*/ta/man/translate/figs-parallelism	כָּל־רֵעֶ֨י⁠הָ֙ בָּ֣גְדוּ בָ֔⁠הּ הָ֥יוּ לָ֖⁠הּ לְ⁠אֹיְבִֽים	1	These two phrases mean basically the same thing. The second emphasizes the meaning of the first by repeating the same idea with different words. Hebrew poetry was based on this kind of repetition, and you may want to show this to your readers by including both phrases in your translation. If it is helpful, you could connect the phrases in a way that shows that the second phrase is repeating the first one, not saying something additional. Alternate translation: [All her companions have betrayed her; yes, they have become her enemies]
1:3	j4fy		rc://*/ta/man/translate/figs-abstractnouns	מֵ⁠עֹ֨נִי֙ וּ⁠מֵ⁠רֹ֣ב עֲבֹדָ֔ה	1	If your language does not use abstract nouns for the ideas of **affliction** and **greatness**, you could express the same ideas in other ways. Alternate translation: [where she suffers greatly under forced labor]
1:3	stoh		rc://*/ta/man/translate/figs-metaphor	לֹ֥א מָצְאָ֖ה מָנ֑וֹחַ	1	The author is speaking of having a secure and peaceful home as if it were a **resting place** that Judah could find. Your language may have a comparable expression that you can use in your translation, or you could state the meaning plainly. Alternate translation: [she finds no safe place to rest] or [she has found no peace and security]
1:3	vmxr		rc://*/ta/man/translate/figs-metaphor	בֵּ֥ין הַ⁠מְּצָרִֽים	1	Here the author is speaking as if being trapped with no escape were being caught **between the narrow passes** of a mountain gorge. Your language may have a comparable expression that you can use in your translation, or you could state the meaning plainly. Alternate translation: [in a place where they were trapped]
1:4	rhb2		rc://*/ta/man/translate/figs-personification	דַּרְכֵ֨י צִיּ֜וֹן אֲבֵל֗וֹת	1	The author is speaking of **the roads of Zion** as if they were a person who could mourn. He means that the roads are empty and unused. If it would be helpful in your language, you could state the meaning plainly. Alternate translation: [The roads of Zion are empty and unused]
1:5	l22z		rc://*/ta/man/translate/figs-parallelism	הָי֨וּ צָרֶ֤י⁠הָ לְ⁠רֹאשׁ֙ אֹיְבֶ֣י⁠הָ שָׁל֔וּ	1	These two phrases mean basically the same thing. The second emphasizes the meaning of the first by repeating the same idea with different words. Hebrew poetry was based on this kind of repetition, and you may want to show this to your readers by including both phrases in your translation. If it is helpful, you could connect the phrases in a way that shows that the second phrase is repeating the first one, not saying something additional. Alternate translation: [Her adversaries have become the head and are prospering]
1:5	xa6v		rc://*/ta/man/translate/figs-abstractnouns	עַ֣ל רֹב־פְּשָׁעֶ֑י⁠הָ	1	If your language does not use abstract nouns for the ideas of **greatness** and **transgressions**, you could express the same ideas in other ways. Alternate translation: [because she transgressed so greatly against him]
1:5	iqrx		rc://*/ta/man/translate/figs-activepassive	עוֹלָלֶ֛י⁠הָ הָלְכ֥וּ שְׁבִ֖י לִ⁠פְנֵי־צָֽר	1	The expression **Her children have gone away as captives** is a passive verbal form. If it would be unnatural to use that form, you could express the idea in active form or in another way that is natural in your language. If you need to say who does the action, the context indicates that it is the adversary. Alternate translation: [The adversary has taken her children away as captives]
1:6	iucx		rc://*/ta/man/translate/figs-metaphor	מן־בת־צִיּ֖וֹן	1	The author is speaking of Jerusalem and its people as if the city were a **daughter**. Your language may have a comparable expression that you can use in your translation, or you could state the meaning plainly. Alternate translation: [from Jerusalem] or [from the people of Zion]
1:6	u8hj		rc://*/ta/man/translate/figs-metaphor	כָּל־הֲדָרָ֑⁠הּ	1	Here the author is speaking as if Jerusalem’s **majesty** were a person or thing that could depart from her. Your language may have a comparable expression that you can use in your translation, or you could state the meaning plainly. Alternate translation: [all her honor has been lost]
1:6	gbav		rc://*/ta/man/translate/figs-abstractnouns	כָּל־הֲדָרָ֑⁠הּ	1	If your language does not use an abstract noun for the idea of **majesty**, you could express the same idea in another way. Alternate translation: [everything that made her majestic is gone]
1:6	c9k3		rc://*/ta/man/translate/figs-simile	הָי֣וּ שָׂרֶ֗י⁠הָ כְּ⁠אַיָּלִים֙ לֹא־מָצְא֣וּ מִרְעֶ֔ה	1	The point of this comparison is that just as **deer that have found no pasture** are weak and helpless, so are **Her princes** without strength or resources. If it would be helpful in your language, you could make this point explicitly. Alternate translation: [Her princes have become weak and helpless, like deer that have found no pasture]
1:6	azzj		rc://*/ta/man/translate/figs-abstractnouns	בְ⁠לֹא־כֹ֖חַ	1	If your language does not use an abstract noun for the idea of **strength**, you could express the same idea in another way. Alternate translation: [being completely weak]
1:7	rqh1		rc://*/ta/man/translate/figs-abstractnouns	יְמֵ֤י עָנְיָ⁠הּ֙ וּ⁠מְרוּדֶ֔י⁠הָ	1	If your language does not use abstract nouns for the ideas of **affliction** and **wanderings**, you could express the same ideas in other ways. Alternate translation: [in the days when she was afflicted and displaced]
1:7	eu7g		rc://*/ta/man/translate/figs-idiom	בִּ⁠נְפֹ֧ל עַמָּ֣⁠הּ בְּ⁠יַד־צָ֗ר	1	The author is using **fell into the hand of** as a common expression of the culture to mean “came under the power of.” If this phrase does not have that meaning for your readers, you could use a comparable expression from your language that does have that meaning, or you could state the meaning plainly. Alternate translation: [When her people came under the power of the adversary]
1:8	wm66		rc://*/ta/man/translate/figs-metaphor	לְ⁠נִידָ֣ה הָיָ֑תָה	1	Here the author is speaking as if Jerusalem were an object of ritual **abhorrence**, something that people treat as defiling and avoid. Your language may have a comparable expression that you can use in your translation, or you could state the meaning plainly. Alternate translation: [she has become something people avoid]
1:8	on2p		rc://*/ta/man/translate/figs-explicit	עֶרְוָתָ֔⁠הּ	1	By **her nakedness**, the author means her naked body is being exposed to shame before her enemies. You could indicate this explicitly in your translation if that would be helpful to your readers. Alternate translation: [how shamefully exposed she is]
1:8	zbxf		rc://*/ta/man/translate/translate-symaction	וַ⁠תָּ֥שָׁב אָחֽוֹר	1	Turning backward was a symbolic action by which Jerusalem showed her shame and disgrace before those who saw her. If it would be helpful to your readers, you could explain the significance of this action in the text of your translation or in a footnote. Alternate translation: [and retreated in shame]
1:9	gc9s		rc://*/ta/man/translate/figs-euphemism	טֻמְאָתָ֣⁠הּ בְּ⁠שׁוּלֶ֗י⁠הָ	1	The author is referring to menstrual impurity in a polite way by using the phrase **Her uncleanness is in her skirts**. He uses this image to characterize Jerusalem’s profound defilement before God. Depending on what is helpful for your readers, you could use a polite way of referring to this in your language, or you could state this plainly. Alternate translation: [She is as unclean as a woman in her menstrual impurity] or [She is deeply defiled by her sin]
